Post Character ID,Full Set Character ID,Difference (%)
p10_1,1781,10.25
p10_10,3068,17.0
p10_11,3934,15.25
p10_12,4009,11.25
p10_13,4015,13.5
p10_14,2403,13.5
p10_15,2568,14.5625
p10_16,3055,16.6875
p10_17,1258,17.375
p10_18,3703,14.5
p10_19,1545,12.1875
p10_2,3521,8.5
p10_20,1067,11.4375
p10_21,2967,14.4375
p10_22,0833,16.375
p10_23,2107,14.9375
p10_24,2781,12.3125
p10_25,2675,13.375
p10_26,1430,9.125
p10_27,3471,15.5
p10_3,3184,15.75
p10_4,1126,17.875
p10_5,3529,13.4375
p10_6,2806,18.125
p10_7,2329,13.875
p10_8,2481,13.3125
p10_9,1430,8.9375
p11_1,0346,8.6875
p11_10,2381,11.5625
p11_11,2294,11.0625
p11_12,1767,12.75
p11_13,1883,11.0625
p11_14,0852,13.4375
p11_15,0681,9.5625
p11_16,1145,11.25
p11_2,3826,8.125
p11_3,0077,9.625
p11_4,1399,13.4375
p11_5,2501,12.5
p11_6,0799,13.5625
p11_7,1660,8.4375
p11_8,0616,14.875
p11_9,1351,9.75
p12_1,3734,9.25
p12_10,0681,11.5
p12_11,3758,15.4375
p12_12,0794,12.3125
p12_13,0243,12.0625
p12_14,2527,10.0625
p12_15,0681,11.75
p12_16,3377,8.75
p12_17,1545,14.625
p12_18,1126,16.125
p12_19,3573,10.75
p12_2,1616,10.5
p12_20,1430,8.25
p12_21,1557,13.8125
p12_22,0150,9.4375
p12_23,3662,13.75
p12_24,0585,12.0625
p12_25,0681,11.375
p12_26,0829,11.6875
p12_27,1907,10.375
p12_28,2806,11.5625
p12_29,2159,11.125
p12_3,1160,13.0
p12_30,2593,13.125
p12_31,2806,11.5625
p12_32,1828,11.5625
p12_33,1430,8.375
p12_34,1319,10.0
p12_35,1711,8.3125
p12_36,3177,15.6875
p12_37,1679,11.875
p12_38,3500,13.25
p12_39,0781,11.4375
p12_4,0829,11.75
p12_40,2568,11.9375
p12_41,2323,11.5625
p12_42,0448,14.5625
p12_43,2469,12.0
p12_44,3607,11.25
p12_45,1430,8.375
p12_46,0681,11.4375
p12_47,2877,8.3125
p12_48,0326,9.125
p12_5,1907,10.4375
p12_6,2806,11.5625
p12_7,1347,10.5625
p12_8,2844,12.0
p12_9,3753,12.75
p13_1,3553,13.5
p13_10,3142,10.375
p13_11,0687,13.75
p13_12,0041,14.5625
p13_13,3131,8.3125
p13_14,3886,13.0
p13_15,3753,13.3125
p13_16,0276,10.6875
p13_17,3298,12.0625
p13_18,3666,10.375
p13_19,0933,9.625
p13_2,0479,8.8125
p13_20,2781,12.125
p13_21,0243,12.5
p13_22,2884,9.125
p13_23,3894,13.75
p13_24,0681,10.75
p13_25,1782,13.75
p13_26,3453,12.875
p13_27,2746,15.625
p13_28,2806,12.625
p13_29,3939,12.125
p13_3,1782,13.875
p13_30,0095,7.0625
p13_31,3458,15.9375
p13_32,3527,7.75
p13_33,3753,13.3125
p13_34,1985,13.125
p13_35,1545,14.3125
p13_36,3068,13.8125
p13_37,3064,16.8125
p13_38,0188,12.6875
p13_39,3753,13.3125
p13_4,3453,13.0
p13_40,3987,10.9375
p13_41,0110,11.6875
p13_42,0924,12.9375
p13_43,2806,12.5625
p13_44,3952,11.9375
p13_45,3474,15.5625
p13_46,2307,11.75
p13_47,0257,13.625
p13_48,1545,14.25
p13_49,3068,13.875
p13_5,2781,12.1875
p13_50,2781,12.25
p13_51,4104,8.75
p13_52,4059,7.375
p13_53,0681,10.75
p13_54,1024,11.3125
p13_55,2233,10.875
p13_56,2781,12.1875
p13_57,4094,7.5
p13_58,4091,6.125
p13_59,8358,20.875
p13_6,3306,18.75
p13_60,4069,6.125
p13_7,3453,12.9375
p13_8,2806,12.5625
p13_9,3939,12.0625
p14_1,1781,7.0
p14_2,2856,12.25
p14_3,2381,8.375
p14_4,1545,14.75
p14_5,1216,9.8125
p14_6,4008,9.375
p15_1,0455,8.75
p15_2,0089,10.25
p15_3,1188,12.4375
p15_4,2122,12.8125
p15_5,4041,11.8125
p15_6,2806,11.8125
p16_1,2885,9.6875
p16_2,1160,9.5625
p16_3,1366,12.0625
p16_4,2159,10.0625
p16_5,1741,12.375
p16_6,3956,15.0
p16_7,4301,7.0
p16_8,2806,12.0
p17_1,0455,8.8125
p17_2,3314,9.3125
p17_3,0455,9.0
p17_4,3474,10.625
p17_5,3333,7.5
p17_6,2781,11.9375
p17_7,3406,12.125
p17_8,0792,13.125
p18_1,1216,9.6875
p18_2,0754,8.8125
p18_3,2806,11.75
p19_1,0095,7.375
p19_10,2587,17.6875
p19_11,0509,8.9375
p19_12,1319,11.375
p19_13,0510,10.625
p19_2,2587,12.8125
p19_3,1145,10.75
p19_4,1167,10.625
p19_5,2532,12.125
p19_6,3734,11.0
p19_7,0089,10.75
p19_8,2159,9.3125
p19_9,0089,9.9375
p1_1,0432,24.1875
p1_10,1099,16.5
p1_11,0237,14.5
p1_12,1906,11.375
p1_13,0253,10.5
p1_14,0681,11.875
p1_15,1172,14.1875
p1_16,3727,11.5
p1_17,0276,13.6875
p1_18,2554,13.625
p1_19,2781,14.125
p1_2,2715,24.9375
p1_20,3663,14.9375
p1_3,0253,12.5625
p1_4,1559,17.6875
p1_5,2448,11.4375
p1_6,0253,14.125
p1_7,0681,11.8125
p1_8,1189,10.375
p1_9,0106,13.1875
p20_1,4104,6.625
p20_10,3726,12.3125
p20_2,4059,6.375
p20_3,2159,11.0
p20_4,0089,9.125
p20_5,3354,11.8125
p20_6,0301,10.6875
p20_7,2806,13.5625
p20_8,3131,6.9375
p20_9,3666,12.625
p21_1,1857,15.375
p21_10,2781,11.5625
p21_11,3672,15.3125
p21_12,8911,9.6875
p21_13,2989,9.625
p21_14,3333,8.6875
p21_15,0448,13.8125
p21_16,1431,14.1875
p21_17,2469,10.0625
p21_18,7476,7.5625
p21_19,2806,14.0
p21_2,1024,15.1875
p21_20,1514,4.8125
p21_21,8480,7.875
p21_22,1229,15.4375
p21_23,8137,12.5625
p21_24,8911,9.6875
p21_25,1319,17.3125
p21_26,3894,18.9375
p21_27,2806,14.0
p21_28,3306,18.75
p21_29,0095,8.0
p21_3,2932,9.1875
p21_30,9034,12.9375
p21_31,0510,12.625
p21_32,0505,12.25
p21_33,8480,7.875
p21_34,3952,13.375
p21_35,3500,11.0
p21_36,3726,17.4375
p21_37,3406,11.5
p21_38,2122,13.625
p21_39,2587,15.1875
p21_4,0681,10.3125
p21_40,3895,19.4375
p21_41,1243,11.6875
p21_42,0681,10.3125
p21_43,3223,9.125
p21_44,0095,8.0
p21_45,0265,16.6875
p21_46,1126,18.125
p21_47,8680,10.4375
p21_48,3561,14.5625
p21_49,1130,10.8125
p21_5,1130,10.8125
p21_50,8440,8.0625
p21_51,3333,8.6875
p21_52,5924,0.25
p21_53,2469,10.0625
p21_54,3734,10.6875
p21_55,1937,3.5
